Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.7433628318584071,0.8194444444444444,0.6097560975609756,0.71460027100271
2.0,0.6460176991150443,0.8805970149253731,0.30434782608695654,0.5924724205061649
3.0,0.7168141592920354,0.8378378378378378,0.48717948717948717,0.6625086625086625
4.0,0.6460176991150443,0.8714285714285714,0.27906976744186046,0.575249169435216
5.0,0.7610619469026548,0.8648648648648649,0.5641025641025641,0.7144837144837145
6.0,0.6902654867256637,0.881578947368421,0.2972972972972973,0.5894381223328592
7.0,0.6637168141592921,0.8243243243243243,0.358974358974359,0.5916493416493417
8.0,0.7345132743362832,0.9090909090909091,0.3611111111111111,0.63510101010101
9.0,0.6991150442477876,0.8918918918918919,0.3333333333333333,0.6126126126126126
10.0,0.6902654867256637,0.88,0.3157894736842105,0.5978947368421053
11.0,0.6902654867256637,0.8767123287671232,0.35,0.6133561643835617
12.0,0.7079646017699115,0.8783783783783784,0.38461538461538464,0.6314968814968815
13.0,0.6283185840707964,0.9104477611940298,0.21739130434782608,0.563919532770928
14.0,0.7168141592920354,0.8571428571428571,0.4166666666666667,0.6369047619047619
15.0,0.6902654867256637,0.8421052631578947,0.3783783783783784,0.6102418207681366
16.0,0.6814159292035398,0.8513513513513513,0.358974358974359,0.6051628551628552
17.0,0.6194690265486725,0.8507462686567164,0.2826086956521739,0.5666774821544451
18.0,0.6902654867256637,0.8142857142857143,0.4883720930232558,0.651328903654485
19.0,0.6814159292035398,0.8285714285714286,0.4418604651162791,0.6352159468438539
20.0,0.6991150442477876,0.8783783783783784,0.358974358974359,0.6186763686763687
Mean,0.6898230088495575,0.8624589268030256,0.3794401511260418,0.6209495389645336
,,,,
1.0,0.6991150442477876,0.6111111111111112,0.8536585365853658,0.7323848238482384
2.0,0.7522123893805309,0.7910447761194029,0.6956521739130435,0.7433484750162231
3.0,0.6637168141592921,0.6081081081081081,0.7692307692307693,0.6886694386694387
4.0,0.7168141592920354,0.7285714285714285,0.6976744186046512,0.7131229235880399
5.0,0.7079646017699115,0.7162162162162162,0.6923076923076923,0.7042619542619543
6.0,0.7079646017699115,0.75,0.6216216216216216,0.6858108108108107
7.0,0.7256637168141593,0.7432432432432432,0.6923076923076923,0.7177754677754677
8.0,0.7522123893805309,0.7922077922077922,0.6666666666666666,0.7294372294372294
9.0,0.8141592920353983,0.7837837837837838,0.8717948717948718,0.8277893277893278
10.0,0.7433628318584071,0.76,0.7105263157894737,0.7352631578947368
11.0,0.7699115044247787,0.821917808219178,0.675,0.748458904109589
12.0,0.7345132743362832,0.7297297297297297,0.7435897435897436,0.7366597366597367
13.0,0.6991150442477876,0.746268656716418,0.6304347826086957,0.6883517196625568
14.0,0.7345132743362832,0.7272727272727273,0.75,0.7386363636363636
15.0,0.7079646017699115,0.7105263157894737,0.7027027027027027,0.7066145092460883
16.0,0.7168141592920354,0.7567567567567568,0.6410256410256411,0.698891198891199
17.0,0.7168141592920354,0.582089552238806,0.9130434782608695,0.7475665152498377
18.0,0.7168141592920354,0.7,0.7441860465116279,0.7220930232558139
19.0,0.7610619469026548,0.7857142857142857,0.7209302325581395,0.7533222591362125
20.0,0.7256637168141593,0.7432432432432432,0.6923076923076923,0.7177754677754677
Mean,0.7283185840707965,0.7293902767520852,0.7242330539193479,0.7268116653357166
